name,iata_code
Eastern Sierra Regional Airport,BIH
Frans Kaisiepo Airport,BIK
Billings Logan International Airport,BIL
South Bimini Airport,BIM
Bilbao Airport,BIO
Biarritz-Anglet-Bayonne Airport,BIQ
Biratnagar Airport,BIR
Bismarck Municipal Airport,BIS
Keesler Air Force Base,BIX
Bisho Airport,BIY
Soummam Airport,BJA
Bojnord Airport,BJB
Rocky Mountain Metropolitan Airport,BJC
BÃ¥tsfjord Airport,BJF
Bemidji Regional Airport,BJI
Banjul International Airport,BJL
Bujumbura International Airport,BJM
Bermejo Airport,BJO
Bahir Dar Airport,BJR
Milas Bodrum International Airport,BJV
Del BajÃ­o International Airport,BJX
Batajnica Air Base,BJY
Badajoz Airport,BJZ
Nal Airport,BKB
Buckland Airport,BKC
Baker City Municipal Airport,BKE
Barking Sands Airport,BKH
Kota Kinabalu International Airport,BKI
Suvarnabhumi Airport,BKK
Burke Lakefront Airport,BKL
Modibo Keita International Airport,BKO
Blackall Airport,BKQ
Fatmawati Soekarno Airport,BKS
Raleigh County Memorial Airport,BKW
Bukavu Kavumu Airport,BKY
General JosÃ© Antonio Anzoategui International Airport,BLA
Borlange Airport,BLE
Mercer County Airport,BLF
Blythe Airport,BLH
Bellingham International Airport,BLI
Batna Airport,BLJ
Blackpool International Airport,BLK
Billund Airport,BLL
Benalla Airport,BLN
Bologna Guglielmo Marconi Airport,BLQ
Kempegowda International Airport,BLR
Blackwater Airport,BLT
Scott AFB/Midamerica Airport,BLV
Chileka International Airport,BLZ
Stockholm-Bromma Airport,BMA
Broome International Airport,BME
Monroe County Airport,BMG
Central Illinois Regional Airport at Bloomington-Normal,BMI
Bitam Airport,BMM
Buon Ma Thuot Airport,BMV
Ãle Art - Waala Airport,BMY
Nashville International Airport,BNA
Bandar Abbas International Airport,BND
Brisbane International Airport,BNE
Benin Airport,BNI
Ballina Byron Gateway Airport,BNK
BrÃ¸nnÃ¸ysund Airport,BNN
Burns Municipal Airport,BNO
Barinas Airport,BNS
Banja Luka International Airport,BNX
Bora Bora Airport,BOB
Bocas Del Toro International Airport,BOC
Bordeaux-MÃ©rignac Airport,BOD
El Dorado International Airport,BOG
Bournemouth Airport,BOH
Boise Air Terminal/Gowen Field,BOI
Burgas Airport,BOJ
Chhatrapati Shivaji International Airport,BOM
Flamingo International Airport,BON
BodÃ¸ Airport,BOO
General Edward Lawrence Logan International Airport,BOS
Bourges Airport,BOU
Bobo Dioulasso Airport,BOY
Bamenda Airport,BPC
Qinhuangdao Beidaihe Airport,BPE
Barra do GarÃ§as Airport,BPG
Bislig Airport,BPH
Miley Memorial Field,BPI
Alashankou Bole (Bortala) airport,BPL
Begumpet Airport,BPM
Porto Seguro Airport,BPS
Southeast Texas Regional Airport,BPT
Qamdo Bangda Airport,BPX
Besalampy Airport,BPY
Dr.Juan C. Angara Airport,BQA
London Biggin Hill Airport,BQH
Brunswick Golden Isles Airport,BQK
Boulia Airport,BQL
Rafael Hernandez Airport,BQN
Ignatyevo Airport,BQS
Brest Airport,BQT
J F Mitchell Airport,BQU
San Carlos De Bariloche Airport,BRC
Brainerd Lakes Regional Airport,BRD
Bremen Airport,BRE
Bari Karol WojtyÅa Airport,BRI
Bourke Airport,BRK
Southeast Iowa Regional Airport,BRL
Barquisimeto International Airport,BRM
Bern Belp Airport,BRN
Brownsville South Padre Island International Airport,BRO
Brno-TuÅany Airport,BRQ
Barra Airport,BRR
Bristol Airport,BRS
Bathurst Island Airport,BRT
Brussels Airport,BRU
Wiley Post Will Rogers Memorial Airport,BRW
Maria Montez International Airport,BRX
Presidente Juscelino Kubitschek International Airport,BSB
JosÃ© Celestino Mutis Airport,BSC
Baoshan Yunduan Airport,BSD
Bradshaw Army Airfield,BSF
Bata Airport,BSG
Bairnsdale Airport,BSJ
Biskra Airport,BSK
EuroAirport Basel-Mulhouse-Freiburg Airport,BSL
Basco Airport,BSO
Basrah International Airport,BSR
Batticaloa Airport,BTC
Sherbro International Airport,BTE
Hang Nadim International Airport,BTH
Barter Island LRRS Airport,BTI
Sultan Iskandar Muda International Airport,BTJ
Bratsk Airport,BTK
W K Kellogg Airport,BTL
Bert Mooney Airport,BTM
Baton Rouge Metropolitan Airport,BTR
M. R. Å tefÃ¡nik Airport,BTS
Bettles Airport,BTT
Bintulu Airport,BTU
Burlington International Airport,BTV
Buka Airport,BUA
Budapest Liszt Ferenc International Airport,BUD
Buffalo Niagara International Airport,BUF
Benguela Airport,BUG
Bou Saada Airport,BUJ
Gerardo Tobar LÃ³pez Airport,BUN
Bhatinda Air Force Station,BUP
Joshua Mqabuko Nkomo International Airport,BUQ
Bob Hope Airport,BUR
Batumi International Airport,BUS
Bunia Airport,BUX
Bushehr Airport,BUZ
Paris Beauvais TillÃ© Airport,BVA
Atlas Brasil Cantanhede Airport,BVB
Rabil Airport,BVC
Brive-Souillac,BVE
BerlevÃ¥g Airport,BVG
Brigadeiro CamarÃ£o Airport,BVH
Birdsville Airport,BVI
Beverly Municipal Airport,BVY
Gautam Buddha Airport,BWA
Braunschweig-Wolfsburg Airport,BWE
Barrow Walney Island Airport,BWF
Bowling Green Warren County Regional Airport,BWG
Butterworth Airport,BWH
Baltimore/Washington International Thurgood Marshall Airport,BWI
Bol Airport,BWK
Brunei International Airport,BWN
Balakovo Airport,BWO
Brewarrina Airport,BWQ
Wynyard Airport,BWT
Sydney Bankstown Airport,BWU
Babo Airport,BXB
Bakel Airport,BXE
Balkhash Airport,BXH
BiaÅa Podlaska Airfield,BXP
Bam Airport,BXR
Bancasi Airport,BXU
Krainiy Airport,BXY
Yacuiba Airport,BYC
Arkansas International Airport,BYH
Burley Municipal Airport,BYI
Beja Airport / Airbase,BYJ
BouakÃ© Airport,BYK
Carlos Manuel de Cespedes Airport,BYM
Bayankhongor Airport,BYN
Bicycle Lake Army Air Field,BYS
Bayreuth Airport,BYU
Bazaruto Island Airport,BZB
Umberto Modiano Airport,BZC
Balranald Airport,BZD
Philip S. W. Goldson International Airport,BZE
Bydgoszcz Ignacy Jan Paderewski Airport,BZG
BalÄ±kesir Merkez Airport,BZI
Bryansk Airport,BZK
Barisal Airport,BZL
Gallatin Field,BZN
Bolzano Airport,BZO
BÃ©ziers-Vias Airport,BZR
Buta Zega Airport,BZU
Maya-Maya Airport,BZV
